2026-09-17 09:23:48 | INFO | income_report | --- CONFIGURATION TEST ---
2026-09-17 09:23:48 | INFO | income_report | Base Directory: C:\Users\veras\Desktop\Data Scientist\fördjupning_egen_uppgift
2026-09-17 09:23:48 | INFO | income_report | Raw Data Path found: C:\Users\veras\Desktop\Data Scientist\fördjupning_egen_uppgift\data\raw\scb_inkomst_00_03.csv
2026-09-17 09:23:48 | INFO | income_report | Log File Path: C:\Users\veras\Desktop\Data Scientist\fördjupning_egen_uppgift\income_report.log
2026-09-17 09:24:17 | INFO | income_report | Loading raw data from: C:\Users\veras\Desktop\Data Scientist\fördjupning_egen_uppgift\data\raw\scb_inkomst_00_03.csv
2026-09-17 09:24:17 | INFO | income_report | Successfully loaded raw data. Shape: (630, 9) (rows, columns)
2026-09-17 14:59:11 | INFO | income_report | Loading raw data from: C:\Users\veras\Desktop\Data Scientist\fördjupning_egen_uppgift\data\raw\scb_inkomst_00_03.csv
2026-09-17 14:59:11 | INFO | income_report | Successfully loaded raw data. Shape: (630, 9) (rows, columns)
2026-09-17 14:59:11 | INFO | income_report | Starting validation anv sanitization pipeline...
2026-09-17 14:59:11 | ERROR | income_report | Missing columns in sanitized data: ['yearinkomst_tkr']
2026-09-17 15:01:24 | INFO | income_report | Loading raw data from: C:\Users\veras\Desktop\Data Scientist\fördjupning_egen_uppgift\data\raw\scb_inkomst_00_03.csv
2026-09-17 15:01:24 | INFO | income_report | Successfully loaded raw data. Shape: (630, 9) (rows, columns)
2026-09-17 15:01:24 | INFO | income_report | Starting validation anv sanitization pipeline...
2026-09-17 15:01:51 | INFO | income_report | Loading raw data from: C:\Users\veras\Desktop\Data Scientist\fördjupning_egen_uppgift\data\raw\scb_inkomst_00_03.csv
2026-09-17 15:01:51 | INFO | income_report | Successfully loaded raw data. Shape: (630, 9) (rows, columns)
2026-09-17 15:01:51 | INFO | income_report | Starting validation anv sanitization pipeline...
2026-09-17 15:01:51 | INFO | income_report | Pipeline completed. Output shape: (2520, 6)
2026-09-17 16:01:38 | INFO | income_report | Starting processing pipeline execution...
2026-09-17 16:01:38 | INFO | income_report | Loading raw data from: C:\Users\veras\Desktop\Data Scientist\fördjupning_egen_uppgift\data\raw\scb_inkomst_00_03.csv
2026-09-17 16:01:38 | INFO | income_report | Successfully loaded raw data. Shape: (630, 9) (rows, columns)
